County,Total,"Less_than_$10,000_Perc","$10,000_to_$14,999_Perc","$15,000_to_$19,999_Perc","$20,000_to_$24,999_Perc","$25,000_to_$29,999_Perc","$30,000_to_$34,999_Perc","$35,000_to_$39,999_Perc","$40,000_to_$44,999_Perc","$45,000_to_$49,999_Perc","$50,000_to_$59,999_Perc","$60,000_to_$74,999_Perc","$75,000_to_$99,999_Perc","$100,000_to_$124,999_Perc","$125,000_to_$149,999_Perc","$150,000_to_$199,999_Perc","$200,000_or_more_Perc"
Tuolumne,370,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,0.1027,0.0000,0.0757,0.0351,0.0459,0.2459,0.1973,0.1919,0.0649,0.0000
Ventura,10836,0.0296,0.0260,0.0342,0.0242,0.0338,0.0388,0.0375,0.0545,0.0441,0.0656,0.1045,0.1452,0.1068,0.0950,0.1017,0.0586
Yolo,3401,0.1291,0.0517,0.0291,0.0385,0.0244,0.0591,0.0300,0.0720,0.0335,0.0694,0.1547,0.1220,0.0582,0.0256,0.0653,0.0373
Yuba,985,0.0264,0.0305,0.0122,0.0680,0.0284,0.1310,0.0406,0.0457,0.0091,0.1381,0.0538,0.1218,0.1452,0.0832,0.0426,0.0234
Alameda,46103,0.0397,0.0284,0.0252,0.0360,0.0246,0.0380,0.0353,0.0520,0.0345,0.0806,0.0954,0.1642,0.1170,0.0747,0.0860,0.0683
Amador,325,0.0000,0.0000,0.0585,0.0000,0.0000,0.0000,0.0215,0.1231,0.0000,0.0831,0.1415,0.3415,0.0954,0.0123,0.1077,0.0154
Butte,2881,0.0739,0.0316,0.0423,0.0694,0.0722,0.0562,0.0437,0.0250,0.1066,0.0781,0.1437,0.1309,0.0573,0.0323,0.0212,0.0156
Calaveras,97,0.0000,0.0000,0.0000,0.0000,0.2680,0.0000,0.0000,0.1134,0.0000,0.3505,0.0000,0.1959,0.0722,0.0000,0.0000,0.0000
Colusa,295,0.1153,0.0136,0.0000,0.0814,0.0407,0.0000,0.0000,0.0136,0.0576,0.1186,0.1288,0.1627,0.1966,0.0068,0.0305,0.0339
"Contra Costa",30280,0.0281,0.0266,0.0288,0.0253,0.0408,0.0451,0.0418,0.0323,0.0406,0.0869,0.1176,0.1715,0.1063,0.0893,0.0624,0.0566
"Del Norte",633,0.0600,0.0221,0.0742,0.1122,0.1280,0.0000,0.0000,0.0506,0.0316,0.0490,0.0079,0.2449,0.0000,0.0569,0.0190,0.1438
"El Dorado",1194,0.0268,0.0084,0.0410,0.0310,0.0678,0.0335,0.0000,0.0268,0.0921,0.1248,0.1139,0.1658,0.0369,0.0871,0.0586,0.0854
Fresno,38719,0.0691,0.0622,0.0561,0.0827,0.0495,0.0653,0.0538,0.0554,0.0495,0.0703,0.1148,0.1103,0.0824,0.0315,0.0254,0.0216
Glenn,924,0.0400,0.1840,0.0996,0.0725,0.0574,0.0000,0.0195,0.0931,0.0271,0.1342,0.0985,0.0487,0.0595,0.0065,0.0563,0.0032
Humboldt,1708,0.0480,0.0580,0.1095,0.0293,0.0966,0.0234,0.0960,0.0556,0.0515,0.0146,0.1423,0.1745,0.0146,0.0047,0.0521,0.0293
Imperial,11430,0.0659,0.1065,0.0912,0.0842,0.0339,0.0638,0.0380,0.0496,0.0627,0.0689,0.1101,0.0960,0.0539,0.0283,0.0266,0.0205
Inyo,185,0.0000,0.0000,0.0000,0.0000,0.0757,0.0000,0.0216,0.0216,0.0000,0.0324,0.1784,0.6162,0.0000,0.0000,0.0541,0.0000
Kern,29780,0.0588,0.0596,0.0549,0.0526,0.0636,0.0607,0.0592,0.0495,0.0499,0.0824,0.0995,0.1320,0.0829,0.0438,0.0336,0.0171
Kings,5705,0.0673,0.0305,0.0466,0.0335,0.0624,0.0613,0.0542,0.1045,0.0696,0.1125,0.0882,0.1195,0.1064,0.0144,0.0226,0.0065
Lake,1784,0.0779,0.0538,0.0067,0.1132,0.0280,0.0897,0.0605,0.0544,0.0846,0.0594,0.0633,0.1328,0.0712,0.0230,0.0639,0.0174
Lassen,98,0.0000,0.0000,0.0102,0.0000,0.0000,0.0000,0.6327,0.0306,0.0102,0.1122,0.0306,0.1531,0.0102,0.0102,0.0000,0.0000
"Los Angeles",536209,0.0480,0.0412,0.0429,0.0507,0.0519,0.0542,0.0510,0.0523,0.0443,0.0877,0.1156,0.1351,0.0873,0.0531,0.0510,0.0336
Madera,8812,0.0550,0.0550,0.0452,0.0547,0.0751,0.0458,0.0814,0.0525,0.0590,0.0689,0.1110,0.1170,0.0792,0.0409,0.0326,0.0267
Marin,4555,0.0338,0.0367,0.0485,0.0395,0.0292,0.0237,0.0648,0.0619,0.0202,0.0931,0.1892,0.1175,0.0520,0.0814,0.0391,0.0694
Mariposa,212,0.0000,0.0755,0.0849,0.0660,0.0000,0.2594,0.0708,0.0000,0.0283,0.0000,0.0000,0.2170,0.0000,0.0000,0.1226,0.0755
Mendocino,1296,0.1242,0.1134,0.0679,0.0324,0.0039,0.0177,0.0579,0.0008,0.0069,0.1620,0.0934,0.1474,0.0880,0.0193,0.0370,0.0278
Merced,20238,0.0422,0.0564,0.0511,0.0550,0.0444,0.0524,0.0584,0.0577,0.0659,0.0893,0.1476,0.1245,0.0713,0.0416,0.0307,0.0116
Modoc,55,0.0000,0.0727,0.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7636,0.0000,0.0000,0.0000,0.0000,0.0000
Mono,124,0.0000,0.0000,0.0000,0.0081,0.0161,0.0000,0.1452,0.0403,0.0000,0.5968,0.0000,0.0000,0.0000,0.0000,0.0000,0.1935
Monterey,33529,0.0275,0.0294,0.0319,0.0563,0.0473,0.0529,0.0523,0.0623,0.0528,0.1032,0.1167,0.1636,0.0893,0.0462,0.0450,0.0232
Napa,3576,0.0425,0.0433,0.0229,0.0288,0.0559,0.0386,0.0221,0.0610,0.0573,0.0744,0.0889,0.1351,0.1446,0.0506,0.0691,0.0649
Nevada,416,0.0000,0.0000,0.0000,0.0529,0.0000,0.0000,0.0000,0.1635,0.0649,0.2837,0.1130,0.1058,0.0409,0.0240,0.0457,0.1058
Orange,86653,0.0326,0.0245,0.0277,0.0455,0.0486,0.0442,0.0475,0.0453,0.0416,0.0823,0.1188,0.1399,0.1123,0.0704,0.0721,0.0469
Placer,2662,0.0424,0.0402,0.0995,0.0436,0.0263,0.0233,0.0560,0.0233,0.0150,0.0582,0.0924,0.1570,0.0920,0.0823,0.0597,0.0887
Plumas,75,0.0000,0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,0.1067,0.0000,0.0000,0.3867,0.0000,0.4400,0.0000,0.0000,0.0000
Riverside,132601,0.0652,0.0395,0.0506,0.0546,0.0610,0.0469,0.0425,0.0512,0.0418,0.0849,0.1210,0.1278,0.0890,0.0502,0.0474,0.0266
Sacramento,35466,0.0648,0.0443,0.0397,0.0396,0.0492,0.0586,0.0542,0.0626,0.0563,0.1100,0.1120,0.1195,0.0798,0.0392,0.0390,0.0312
"San Benito",1567,0.0274,0.0287,0.0211,0.0370,0.0389,0.0345,0.0364,0.0191,0.0204,0.0593,0.1461,0.1436,0.1398,0.0702,0.1264,0.0511
"San Bernardino",93624,0.0390,0.0350,0.0341,0.0412,0.0453,0.0494,0.0426,0.0459,0.0430,0.0973,0.1310,0.1485,0.0959,0.0578,0.0618,0.0321
"San Diego",55538,0.0422,0.0363,0.0297,0.0437,0.0455,0.0450,0.0448,0.0439,0.0472,0.0936,0.1253,0.1311,0.1087,0.0617,0.0554,0.0459
"San Francisco",18661,0.0541,0.0694,0.0263,0.0454,0.0349,0.0437,0.0281,0.0313,0.0307,0.0756,0.0942,0.1045,0.0902,0.0661,0.0983,0.1072
"San Joaquin",19785,0.0382,0.0360,0.0366,0.0436,0.0448,0.0568,0.0479,0.0554,0.0401,0.1062,0.1177,0.1264,0.1005,0.0486,0.0340,0.0673
"San Luis Obispo",3024,0.0632,0.0251,0.0407,0.0000,0.0212,0.0734,0.0417,0.0443,0.0671,0.1253,0.1002,0.1171,0.1002,0.0780,0.0546,0.0479
"San Mateo",19963,0.0255,0.0200,0.0283,0.0295,0.0324,0.0514,0.0459,0.0504,0.0318,0.0853,0.0836,0.1748,0.1070,0.0745,0.0756,0.0841
"Santa Barbara",10956,0.0408,0.0323,0.0355,0.0552,0.0277,0.0332,0.0521,0.0723,0.0413,0.0805,0.0949,0.1422,0.1062,0.0656,0.0672,0.0528
"Santa Clara",44400,0.0333,0.0236,0.0276,0.0343,0.0291,0.0366,0.0338,0.0484,0.0433,0.0624,0.1045,0.1467,0.1106,0.0853,0.0927,0.0878
"Santa Cruz",9028,0.0313,0.0496,0.0512,0.0505,0.0333,0.0519,0.0370,0.0204,0.0486,0.1021,0.1022,0.1728,0.0877,0.0679,0.0362,0.0570
Shasta,1281,0.1085,0.0117,0.0351,0.0960,0.0984,0.0476,0.0312,0.0195,0.1030,0.1179,0.1390,0.1179,0.0265,0.0000,0.0219,0.0258
Sierra,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Siskiyou,297,0.1684,0.1145,0.0067,0.0000,0.0606,0.1077,0.0640,0.0539,0.1751,0.0337,0.0101,0.0875,0.0640,0.0539,0.0000,0.0000
Solano,9953,0.0220,0.0149,0.0210,0.0305,0.0499,0.0202,0.0289,0.0764,0.0311,0.0709,0.1215,0.1749,0.1404,0.0755,0.0642,0.0577
Sonoma,15304,0.0512,0.0255,0.0452,0.0207,0.0295,0.0521,0.0525,0.0359,0.0487,0.0964,0.1017,0.1935,0.0876,0.0750,0.0516,0.0328
Stanislaus,14524,0.0392,0.0272,0.0306,0.0587,0.0381,0.0638,0.0529,0.0505,0.0583,0.0903,0.1310,0.1399,0.0917,0.0657,0.0268,0.0355
Sutter,1526,0.0550,0.0596,0.0354,0.0328,0.0380,0.0334,0.1245,0.0400,0.0282,0.0740,0.1278,0.1199,0.0858,0.0642,0.0564,0.0249
Tehama,886,0.0339,0.1298,0.0982,0.2235,0.0248,0.0666,0.0000,0.0361,0.0880,0.0474,0.0000,0.2325,0.0023,0.0000,0.0000,0.0169
Trinity,188,0.0160,0.3936,0.0053,0.1223,0.0160,0.0000,0.0000,0.0691,0.0000,0.0000,0.0000,0.3191,0.0585,0.0000,0.0000,0.0000
Tulare,22474,0.0779,0.0638,0.0450,0.0658,0.0569,0.0634,0.0461,0.0576,0.0509,0.1032,0.1095,0.1304,0.0429,0.0341,0.0353,0.0172
Tuolumne,370,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,0.1027,0.0000,0.0757,0.0351,0.0459,0.2459,0.1973,0.1919,0.0649,0.0000
Ventura,10836,0.0296,0.0260,0.0342,0.0242,0.0338,0.0388,0.0375,0.0545,0.0441,0.0656,0.1045,0.1452,0.1068,0.0950,0.1017,0.0586
Yolo,3401,0.1291,0.0517,0.0291,0.0385,0.0244,0.0591,0.0300,0.0720,0.0335,0.0694,0.1547,0.1220,0.0582,0.0256,0.0653,0.0373
Yuba,985,0.0264,0.0305,0.0122,0.0680,0.0284,0.1310,0.0406,0.0457,0.0091,0.1381,0.0538,0.1218,0.1452,0.0832,0.0426,0.0234
