FAFSA Data by Demographic Characteristics,,,,,,,,,,,
2020-2021 Application Cycle ,,,,,,,,,,,
Data Element and Value,,,Initial Application,,,,,,,,
,,,2019,2020,,,,2021,,Total,Final Transaction Total
,FAFSA on the Web (FOTW),,"5,499,361","4,151,728","3,213,947","2,655,751","870,849","699,549","394,155","17,485,340","17,485,281"
,Web Financial Aid Administrator (Web FAA),,"2,017","4,306","4,969","17,709","12,153","10,044","6,116","57,314","57,314"
,Other Electronic (School Batch),,1,58,144,593,321,294,199,"1,610","1,610"
,Paper FAFSA,,"3,493","4,702","4,410","4,824","4,854","3,295","2,905","28,483","28,542"
,FAFSA on the Phone/FSAIC Correction,,266,286,475,478,446,298,173,"2,422","2,422"
Schools Listed, , ,,,,,,,,,
,Freshmen Filing Original Application: 1 School,,"616,813","638,993","634,252","774,052","374,047","354,759","229,663","3,622,579","3,533,591"
,Freshmen Filing Original Application: 2 Schools,,"174,127","115,553","65,967","57,012","24,695","18,635","10,822","466,811","571,438"
,Freshmen Filing Original Application: 3 Schools,,"161,558","74,172","31,537","24,806","12,694","8,015","5,265","318,047","327,252"
,Freshmen Filing Original Application: 4 Schools,,"151,106","53,839","18,161","14,504","8,744","4,862","2,649","253,865","249,822"
,Freshmen Filing Original Application: 5 Schools,,"136,435","39,586","11,179","9,253","6,647","3,296","1,472","207,868","203,510"
,Freshmen Filing Original Application: 6 Schools,,"116,219","30,756","7,519","6,381","5,018","1,972",838,"168,703","167,581"
,Freshmen Filing Original Application: 7 Schools,,"96,189","22,016","5,051","4,629","3,886","1,525",570,"133,866","138,165"
,Freshmen Filing Original Application: 8 Schools,,"84,431","19,245","3,482","3,524","3,249","1,184",441,"115,556","123,007"
,Freshmen Filing Original Application: 9 Schools,,"77,441","16,114","3,119","3,185","3,127","1,083",379,"104,448","120,774"
,Freshmen Filing Original Application: 10 Schools,,"233,551","38,357","6,210","7,619","8,141","2,271","1,049","297,198","281,037"
,Not Freshmen Filing Original Application: 1 School,,"3,120,171","2,679,976","2,236,586","1,692,564","423,305","328,625","154,616","10,635,843","10,187,139"
,Not Freshmen Filing Original Application: 2 Schools,,"246,614","205,021","159,145","96,898","25,438","16,971","7,595","757,682","1,053,074"
,Not Freshmen Filing Original Application: 3 Schools,,"101,301","85,457","57,506","33,006","9,131","5,853","2,559","294,813","359,631"
,Not Freshmen Filing Original Application: 4 Schools,,"59,276","50,860","28,468","16,242","4,761","2,960","1,241","163,808","188,614"
,Not Freshmen Filing Original Application: 5 Schools,,"38,257","32,084","16,390","9,151","2,779","1,695",721,"101,077","114,588"
,Not Freshmen Filing Original Application: 6 Schools,,"25,542","20,715","10,063","5,747","1,718",998,369,"65,152","73,246"
,Not Freshmen Filing Original Application: 7 Schools,,"17,711","14,310","6,659","3,810","1,148",679,272,"44,589","50,717"
,Not Freshmen Filing Original Application: 8 Schools,,"13,455","10,759","4,768","2,768",835,517,203,"33,305","37,372"
,Not Freshmen Filing Original Application: 9 Schools,,"11,152","8,532","3,782","2,167",727,383,168,"26,911","31,273"
,Not Freshmen Filing Original Application: 10 Schools,,"23,789","17,069","6,950","4,041","1,352",731,316,"54,248","54,538"
DRT Usage, , ,,,,,,,,,
,"Dependent, Used",,"2,068,004","1,111,886","560,521","370,387","79,049","54,680","29,313","4,273,840","4,521,560"
,"Dependent, Eligible, Not Used",,"948,173","703,025","468,530","388,441","86,939","60,225","30,907","2,686,240","2,532,985"
,"Dependent, Ineligible",,"500,898","390,977","272,530","245,593","64,599","51,613","28,334","1,554,544","1,425,760"
,"Dependent, Not Available",,"21,939","14,139","8,914","12,105","7,091","5,252","3,097","72,537","81,902"
,"Independent, Used",,"1,157,652","1,084,901","1,083,092","875,057","324,518","265,238","129,049","4,919,507","5,063,450"
,"Independent, Eligible, Not Used",,"323,550","363,697","425,278","392,314","147,796","121,013","59,582","1,833,230","1,750,166"
,"Independent, Ineligible",,"467,686","486,500","479,344","462,739","196,640","186,780","132,847","2,412,536","2,369,382"
,"Independent, Not Available",,"17,236","18,289","18,585","24,723","14,810","12,213","8,079","113,935","121,164"
Application Completion Times (Minutes:Seconds), , ,,,,,,,,,
,All Applicants,,40:20,36:49,32:27,32:13,29:43,24:59,22:42,35:12,N/A
,"Dependent, Original, and Full Form",,64:26,60:00,56:28,56:17,55:32,45:55,42:59,60:16,N/A
,"Dependent, Original, and EZ Form",,52:36,50:05,48:45,47:15,47:48,37:48,36:48,49:22,N/A
,"Dependent, Renewal, and Full Form",,40:31,44:28,43:59,44:48,43:57,40:08,39:02,42:50,N/A
,"Dependent, Renewal, and EZ Form",,30:37,33:25,34:33,35:21,35:21,28:23,33:00,32:51,N/A
,"Independent, Original, and Full Form",,24:01,25:59,25:23,25:03,23:59,20:54,18:09,24:13,N/A
,"Independent, Original, and EZ Form",,19:27,18:51,19:37,20:06,18:34,16:17,15:27,18:52,N/A
,"Independent, Renewal, and Full Form",,17:59,20:23,20:20,19:56,19:02,17:04,15:57,19:28,N/A
,"Independent, Renewal, and EZ Form",,13:31,15:35,15:44,16:10,14:41,12:45,11:29,14:58,N/A
